Youtuber,Subscribers,Video views,Total Video count,Country,Category,Youtuber since,Last 7 Days Subscribers,Last 30 Days Subscribers,Last 90 Days Subscribers,Estimated earnings in past 30 days
ChuChu TV Nursery Rhymes & Kids Songs,"95,900,000","54,652,917,679",877,India (IN)               ,Education,2013,"['82,353', '45,126,225']","['400,000', '273,809,224']","['1,100,000', '869,504,216']",$ 103K - $ 616K
Gaming,"92,600,000",0,0, ,Youtuber,2013,"['50,000', '0']","['100,000', '0']","['200,000', '0']",$ 0 - $ 0
Alan's Universe,"90,800,000","50,660,248,970",1346,United States (US)               ,Comedy,2020,"['700,000', '461,860,602']","['3,400,000', '1,589,396,871']","['14,500,000', '26,399,678']",$ 596K - $ 3.58M
Zee TV,"89,200,000","102,093,004,517",205708, ,Entertainment,2005,"['150,000', '259,855,251']","['600,000', '974,662,648']","['1,900,000', '2,884,125,656']",$ 365K - $ 2.19M
Baby Shark - Pinkfong Kidsâ Songs & Stories,"81,100,000","49,247,272,941",3508,United States (US)               ,Education,2011,"['58,334', '69,330,239']","['100,000', '297,129,593']","['1,100,000', '1,266,616,904']",$ 111K - $ 669K
5-Minute Crafts,"81,000,000","28,084,354,143",7596,Turkey (TR)               ,Howto,2016,"['46,666', '8,669,882']","['100,000', '18,578,318']","['100,000', '109,759,318']",$ 6.97K - $ 41.8K
BANGTANTV,"80,000,000","24,733,622,644",2766, ,Music,2012,"['31,819', '41,329,246']","['136,364', '76,754,313']","['300,000', '328,348,566']",$ 28.8K - $ 173K
Colors TV,"80,000,000","79,751,582,906",242609,India (IN)               ,Shows,2008,"['150,000', '202,208,757']","['300,000', '404,417,514']","['1,700,000', '2,436,926,005']",$ 152K - $ 910K
A4,"78,100,000","32,700,860,404",994,United States (US)               ,Gaming,2014,"['538,462', '90,853,989']","['1,000,000', '168,728,835']","['4,200,000', '799,048,586']",$ 63.3K - $ 380K
HYBE LABELS,"76,900,000","38,858,802,707",2399, ,Music,2008,"['25,926', '84,737,599']","['111,112', '169,475,198']","['500,000', '1,047,019,948']",$ 63.6K - $ 381K
ZAMZAM ELECTRONICS TRADING,"76,600,000","37,198,031,785",20084,United Arab Emirates (AE)               ,People,2020,"['218,750', '265,462,344']","['500,000', '606,771,070']","['4,500,000', '2,547,750,860']",$ 228K - $ 1.37M
T-Series Bhakti Sagar,"75,600,000","39,473,270,029",29856,India (IN)               ,Music,2011,"['200,000', '148,770,465']","['400,000', '297,540,929']","['2,100,000', '1,621,959,759']",$ 112K - $ 669K
Justin Bieber,"75,100,000","34,515,525,890",249, ,Music,2007,"['53,847', '104,961,931']","['100,000', '194,929,299']","['400,000', '539,094,254']",$ 73.1K - $ 439K
Sports,"74,700,000",0,0, ,Youtuber,2013,"['0', '0']","['0', '0']","['0', '0']",$ 0 - $ 0
Tips Official,"74,400,000","46,220,765,163",7616,India (IN)               ,Music,2007,"['215,385', '199,858,374']","['400,000', '371,165,551']","['2,300,000', '2,184,773,433']",$ 139K - $ 835K
UR Â· Cristiano,"74,400,000","821,594,544",101,Portugal (PT)               ,People,2024,"['107,693', '4,676,598']","['200,000', '8,685,109']","['1,000,000', '39,011,586']",$ 3.26K - $ 19.5K
Toys and Colors,"74,100,000","91,760,224,626",1501,United States (US)               ,Entertainment,2016,"['250,000', '597,220,870']","['500,000', '1,194,441,740']","['3,300,000', '5,950,784,916']",$ 448K - $ 2.69M
Shemaroo Filmi Gaane,"71,600,000","32,095,129,223",9305, ,Music,2010,"['107,693', '70,826,789']","['300,000', '231,022,921']","['900,000', '735,183,157']",$ 86.6K - $ 520K
KL BRO Biju Rithvik,"70,300,000","63,376,035,878",3062,India (IN)               ,Entertainment,2020,"['430,770', '683,628,931']","['800,000', '1,269,596,586']","['4,300,000', '5,486,452,219']",$ 476K - $ 2.86M
Aaj Tak,"70,900,000","38,208,644,240",449767,India (IN)               ,News,2009,"['50,000', '103,100,378']","['300,000', '430,162,109']","['1,400,000', '1,837,879,096']",$ 161K - $ 968K
Infobells - Hindi,"69,300,000","42,025,805,964",769,India (IN)               ,Education,2014,"['100,000', '121,945,472']","['400,000', '428,832,252']","['1,300,000', '1,433,122,714']",$ 161K - $ 965K
El Reino Infantil,"68,600,000","66,537,535,340",1784,Argentina (AR)               ,Music,2011,"['100,000', '133,417,398']","['200,000', '266,834,795']","['1,000,000', '1,638,516,903']",$ 100K - $ 600K
Mark Rober,"66,800,000","11,192,236,499",203,United States (US)               ,Science,2011,"['484,616', '187,562,992']","['900,000', '348,331,270']","['3,200,000', '1,255,655,599']",$ 131K - $ 784K
Canal KondZilla,"67,700,000","39,286,495,069",3279,Brazil (BR)               ,Music,2012,"['50,000', '20,148,345']","['100,000', '74,595,811']","['200,000', '1,348,690,315']",$ 28K - $ 168K
HAR PAL GEO,"67,300,000","70,110,676,911",165813, ,Entertainment,2008,"['250,000', '358,487,299']","['1,100,000', '1,468,012,794']","['3,100,000', '4,229,051,956']",$ 551K - $ 3.3M
Fede Vigevani,"66,400,000","20,187,809,573",1498,Argentina (AR)               ,Howto,2009,"['250,000', '141,637,297']","['500,000', '283,274,594']","['3,400,000', '1,577,877,079']",$ 106K - $ 637K
Wave Music,"65,300,000","45,147,166,781",20647,India (IN)               ,Music,2014,"['100,000', '59,467,355']","['300,000', '230,025,622']","['1,100,000', '787,066,646']",$ 86.3K - $ 518K
Sony Music India,"64,900,000","34,750,462,726",6570,India (IN)               ,Music,2009,"['100,000', '133,658,587']","['200,000', '267,317,174']","['1,400,000', '1,577,120,477']",$ 100K - $ 601K
YRF,"64,900,000","47,281,882,788",4473,India (IN)               ,Film,2006,"['100,000', '143,377,006']","['200,000', '286,754,011']","['1,300,000', '1,725,878,887']",$ 108K - $ 645K
EminemMusic,"64,600,000","33,585,540,590",197, ,Music,2007,"['50,000', '89,227,498']","['200,000', '331,416,421']","['700,000', '668,308,949']",$ 124K - $ 746K
Movieclips,"63,900,000","65,527,188,129",42427,United States (US)               ,Film,2006,"['50,000', '64,474,055']","['100,000', '128,948,110']","['700,000', '879,163,518']",$ 48.4K - $ 290K
Alejo Igoa,"63,200,000","22,623,813,456",1200,Argentina (AR)               ,Comedy,2014,"['200,000', '140,659,469']","['1,000,000', '549,668,353']","['4,700,000', '1,641,570,463']",$ 206K - $ 1.24M
ARY Digital HD,"62,500,000","63,346,985,926",168220, ,Entertainment,2016,"['200,000', '298,287,102']","['400,000', '596,574,204']","['1,800,000', '2,779,856,581']",$ 224K - $ 1.34M
Topper Guild,"61,600,000","22,807,051,223",1151, ,Comedy,2014,"['525,000', '118,802,716']","['1,200,000', '271,549,063']","['5,200,000', '969,774,640']",$ 102K - $ 611K
YOLO AVENTURAS,"61,300,000","22,227,956,748",2815, ,People,2018,"['186,667', '172,690,062']","['700,000', '576,965,432']","['2,300,000', '1,413,331,660']",$ 216K - $ 1.3M
Dude Perfect,"61,000,000","18,578,524,436",482,United States (US)               ,Sports,2009,"['50,000', '89,610,054']","['100,000', '179,220,108']","['300,000', '445,229,642']",$ 67.2K - $ 403K
Taylor Swift,"60,900,000","38,874,693,148",285, ,Music,2006,"['53,847', '15,453,469']","['100,000', '66,229,150']","['300,000', '833,821,795']",$ 24.8K - $ 149K
LooLoo Kids - Nursery Rhymes and Children's Songs,"60,000,000","37,452,451,628",983,United States (US)               ,Music,2014,"['25,926', '17,830,877']","['111,112', '76,418,044']","['300,000', '480,151,643']",$ 28.7K - $ 172K
ISSEI / ãã£ãã,"59,200,000","44,090,637,269",3561,Japan (JP)               ,Comedy,2014,"['525,000', '784,582,206']","['1,200,000', '1,793,330,755']","['7,000,000', '6,499,690,912']",$ 672K - $ 4.03M
PANDA BOI,"58,500,000","26,183,561,199",1173,United States (US)               ,Entertainment,2020,"['48,276', '34,185,680']","['200,000', '127,161,618']","['1,100,000', '494,035,460']",$ 47.7K - $ 286K
Shemaroo,"58,000,000","26,279,870,297",13331,India (IN)               ,Entertainment,2007,"['100,000', '37,223,156']","['200,000', '74,446,312']","['1,000,000', '401,860,713']",$ 27.9K - $ 168K
Marshmello,"57,900,000","16,703,648,724",529,United States (US)               ,Entertainment,2015,"['53,847', '40,077,583']","['100,000', '171,761,068']","['300,000', '314,431,119']",$ 64.4K - $ 386K
Anaya Kandhal,"57,600,000","57,721,050,193",2380,India (IN)               ,Entertainment,2016,"['430,770', '1,298,902,889']","['800,000', '2,412,248,222']","['6,300,000', '9,041,202,942']",$ 905K - $ 5.43M
Billion Surprise Toys,"57,600,000","12,633,117,563",1369, ,Education,2013,"['26,923', '22,512,710']","['100,000', '61,773,905']","['100,000', '206,013,498']",$ 23.2K - $ 139K
Zhong,"56,400,000","19,461,900,020",1942,United States (US)               ,Entertainment,2015,"['700,000', '168,421,295']","['2,600,000', '528,554,080']","['5,500,000', '974,835,360']",$ 198K - $ 1.19M
Ed Sheeran,"56,200,000","34,229,800,273",582, ,Music,2006,"['50,000', '33,402,232']","['100,000', '143,152,422']","['500,000', '466,824,500']",$ 53.7K - $ 322K
Mikecrack,"56,100,000","20,039,361,921",2107,Spain (ES)               ,Gaming,2015,"['186,667', '18,666,455']","['400,000', '39,999,548']","['1,800,000', '282,116,087']",
à¤à¤à¤¾à¤°à¥à¤¯ à¤ªà¥à¤°à¤¶à¤¾à¤¨à¥à¤¤ - Acharya Prashant,"56,000,000","3,708,813,485",13432,India (IN)               ,Youtuber,2014,"['131,250', '39,457,416']","['400,000', '145,353,481']","['1,300,000', '332,140,037']",$ 54.5K - $ 327K
Ariana Grande,"55,900,000","28,540,325,814",229,United States (US)               ,Music,2007,"['50,000', '22,171,854']","['100,000', '95,022,228']","['400,000', '682,423,434']",$ 35.6K - $ 214K
SonyMusicIndiaVEVO,"55,500,000","35,864,208,384",3725, ,Music,2009,"['100,000', '137,810,984']","['200,000', '275,621,968']","['1,700,000', '1,739,798,108']",$ 103K - $ 620K
Billie Eilish,"55,300,000","18,842,160,860",148,United States (US)               ,Music,2013,"['58,334', '39,806,039']","['100,000', '170,597,308']","['1,000,000', '873,315,537']",$ 64K - $ 384K
Get Movies,"55,200,000","35,429,990,373",3598,Russian Federation (RU)               ,Entertainment,2006,"['100,000', '54,276,118']","['200,000', '108,552,236']","['1,000,000', '614,247,589']",$ 40.7K - $ 244K
StarPlus,"55,100,000","62,247,220,722",117345, ,Entertainment,2006,"['300,000', '323,729,075']","['600,000', '647,458,149']","['2,500,000', '4,267,517,726']",$ 243K - $ 1.46M
ÐÐ°ÑÐ° Ð¸ ÐÐµÐ´Ð²ÐµÐ´Ñ,"55,000,000","45,437,526,751",2140,Russian Federation (RU)               ,Film,2011,"['150,000', '171,895,350']","['300,000', '343,790,699']","['1,400,000', '1,431,192,107']",$ 129K - $ 774K
Saregama Music,"54,500,000","26,724,339,875",9858, ,Entertainment,2013,"['250,000', '119,633,360']","['800,000', '466,040,296']","['2,500,000', '1,549,526,857']",$ 175K - $ 1.05M
Jess No Limit,"54,200,000","6,765,090,744",2649,Indonesia (ID)               ,Entertainment,2017,"['46,667', '20,779,662']","['400,000', '82,438,673']","['1,100,000', '308,405,860']",$ 30.9K - $ 185K
JioHotstar Kids,"54,200,000","26,620,473,987",8464, ,Entertainment,2016,"['150,000', '107,204,042']","['300,000', '214,408,083']","['2,100,000', '1,373,097,548']",$ 80.4K - $ 482K
ToRung,"54,000,000","27,545,095,229",496,Viet Nam (VN)               ,Entertainment,2017,"['583,334', '689,288,110']","['1,000,000', '1,181,636,759']","['6,800,000', '6,031,006,531']",$ 443K - $ 2.66M
JuegaGerman,"53,100,000","16,700,191,745",2299,Chile (CL)               ,Gaming,2013,"['58,334', '42,311,254']","['100,000', '72,533,577']","['800,000', '353,733,071']",$ 27.2K - $ 163K
Bispo Bruno Leonardo,"52,900,000","7,961,637,273",7425,Brazil (BR)               ,Nonprofits,2016,"['525,000', '57,637,284']","['2,400,000', '245,597,460']","['8,800,000', '739,345,730']",$ 92.1K - $ 553K
ABS-CBN Entertainment,"52,200,000","57,163,456,975",240632,Philippines (PH)               ,People,2008,"['50,000', '40,545,580']","['100,000', '81,091,160']","['1,000,000', '593,889,205']",$ 30.4K - $ 182K
Real fools shorts official,"52,100,000","25,736,580,221",674,India (IN)               ,People,2021,"['100,000', '144,983,178']","['200,000', '289,966,355']","['1,400,000', '1,186,956,866']",$ 109K - $ 652K
LUCCAS NETO,"51,800,000","31,151,580,835",3181,Brazil (BR)               ,People,2014,"['50,000', '92,229,514']","['100,000', '184,459,027']","['1,100,000', '901,528,616']",$ 69.2K - $ 415K
Alfredo Larin,"51,800,000","46,977,979,671",1872,United States (US)               ,Entertainment,2017,"['280,000', '667,043,113']","['1,000,000', '2,199,851,298']","['3,300,000', '4,684,902,086']",$ 825K - $ 4.95M
BETER BÃCÃK,"51,400,000","17,274,902,433",2071,Turkey (TR)               ,Gaming,2012,"['43,750', '78,114,589']","['100,000', '178,547,632']","['900,000', '10,323,142,050']",$ 67K - $ 402K
Masha and The Bear,"51,000,000","31,049,945,700",1886, ,Shows,2014,"['50,000', '53,105,999']","['200,000', '216,369,250']","['600,000', '655,058,483']",$ 81.1K - $ 487K
shfa,"50,400,000","30,211,917,953",1238,United Arab Emirates (AE)               ,People,2015,"['140,000', '117,906,832']","['600,000', '478,210,361']","['2,000,000', '1,479,391,338']",$ 179K - $ 1.08M
shfa2 - Ø´ÙØ§,"50,000,000","32,737,472,077",1917, ,People,2017,"['140,000', '128,542,862']","['500,000', '479,811,179']","['1,500,000', '1,463,426,181']",$ 180K - $ 1.08M
Bad Bunny,"49,900,000","40,140,154,524",183,Puerto Rico (PR)               ,Music,2014,"['50,000', '199,708,752']","['200,000', '556,589,391']","['800,000', '1,757,383,627']",$ 209K - $ 1.25M
MrBeast 2,"49,800,000","6,837,787,878",132, ,People,2020,"['43,750', '17,217,807']","['100,000', '39,354,987']","['1,200,000', '474,950,293']",$ 14.8K - $ 88.5K
HUM TV,"49,800,000","43,676,418,000",180659,Pakistan (PK)               ,Entertainment,2011,"['500,000', '444,022,597']","['1,000,000', '888,045,193']","['3,700,000', '3,667,005,070']",$ 333K - $ 2M
Ishtar Music,"49,400,000","22,936,006,250",4837,United States (US)               ,Trailers,2005,"['93,334', '93,848,238']","['400,000', '372,158,251']","['1,200,000', '1,130,016,272']",$ 140K - $ 837K
Dushyant kukreja,"48,600,000","31,781,438,396",1426,India (IN)               ,Entertainment,2015,"['161,539', '123,326,237']","['300,000', '229,034,440']","['1,100,000', '766,029,647']",$ 85.9K - $ 515K
Fernanfloo,"48,600,000","10,816,851,169",549,El Salvador (SV)               ,Gaming,2011,"['50,000', '4,511,648']","['100,000', '9,023,296']","['300,000', '54,104,889']",$ 3.38K - $ 20.3K
Ricis Official,"48,600,000","8,380,900,812",5347,Indonesia (ID)               ,People,2016,"['53,847', '7,152,776']","['100,000', '30,654,752']","['500,000', '191,648,712']",$ 11.5K - $ 69K
Shakira,"48,100,000","32,850,092,491",380,Colombia (CO)               ,People,2005,"['50,000', '78,272,021']","['200,000', '290,724,647']","['500,000', '613,807,648']",$ 109K - $ 654K
Juan De Dios Pantoja,"47,800,000","6,673,246,906",461,Mexico (MX)               ,Entertainment,2014,"['323,077', '93,814,970']","['600,000', '174,227,801']","['3,400,000', '735,708,294']",$ 65.3K - $ 392K
Maria Clara & JP,"47,700,000","31,540,151,781",967,Brazil (BR)               ,People,2015,"['53,847', '71,033,197']","['200,000', '246,250,032']","['800,000', '774,742,528']",$ 92.3K - $ 554K
Badabun,"47,600,000","19,964,485,693",25481,Mexico (MX)               ,Entertainment,2014,"['0', '5,417,783']","['0', '17,769,839']","['0', '44,345,287']",$ 6.66K - $ 40K
ABP NEWS,"47,600,000","21,250,410,255",461574,India (IN)               ,People,2012,"['50,000', '70,249,623']","['400,000', '415,288,747']","['900,000', '1,068,271,437']",$ 156K - $ 934K
Felipe Neto,"47,200,000","18,551,002,737",5539,Brazil (BR)               ,Entertainment,2006,"['25,926', '22,928,080']","['111,112', '45,856,159']","['200,000', '236,146,242']",$ 17.2K - $ 103K
MrBeast Gaming,"47,000,000","8,700,800,019",142,United States (US)               ,Gaming,2020,"['50,000', '22,525,814']","['100,000', '45,051,627']","['600,000', '203,934,090']",$ 16.9K - $ 101K
Kimberly Loaiza,"46,800,000","7,078,937,625",314,Mexico (MX)               ,People,2016,"['50,000', '8,278,959']","['100,000', '31,077,991']","['400,000', '111,976,599']",$ 11.7K - $ 69.9K
Alan Walker,"46,700,000","15,437,449,040",761,Norway (NO)               ,Music,2012,"['50,000', '36,768,111']","['100,000', '157,577,619']","['300,000', '289,899,644']",$ 59.1K - $ 355K
T-Series Bollywood Classics,"46,700,000","32,258,261,247",2221,India (IN)               ,Music,2012,"['150,000', '144,264,419']","['300,000', '288,528,838']","['1,800,000', '1,728,453,489']",$ 108K - $ 649K
Speed Records,"46,600,000","31,854,925,442",12236,India (IN)               ,Music,2012,"['50,000', '65,438,532']","['100,000', '130,877,063']","['700,000', '879,142,223']",$ 49.1K - $ 294K
IndiaTV,"46,500,000","25,520,527,704",359157,India (IN)               ,News,2006,"['100,000', '177,852,995']","['200,000', '355,705,989']","['1,400,000', '1,937,027,045']",$ 133K - $ 800K
PowerKids TV,"46,400,000","25,192,243,553",8752,United States (US)               ,Film,2014,"['116,667', '149,269,243']","['200,000', '255,890,130']","['1,300,000', '964,667,512']",$ 96K - $ 576K
VocÃª Sabia?,"46,400,000","8,298,475,639",1739,Brazil (BR)               ,Entertainment,2013,"['26,924', '5,460,297']","['100,000', '25,965,086']","['200,000', '74,463,257']",$ 9.74K - $ 58.4K
Dangal TV Channel,"46,300,000","34,315,145,664",41794,India (IN)               ,Entertainment,2017,"['326,667', '328,662,869']","['700,000', '704,277,576']","['3,400,000', '3,577,762,913']",$ 264K - $ 1.58M
Shorts Break,"46,000,000","34,358,279,803",752,India (IN)               ,Comedy,2021,"['107,693', '203,075,645']","['200,000', '377,140,483']","['700,000', '1,181,665,907']",$ 141K - $ 849K
Goldmines Gaane Sune Ansune,"46,100,000","20,442,622,017",3876,India (IN)               ,Music,2015,"['100,000', '61,706,972']","['200,000', '123,413,943']","['1,000,000', '409,840,446']",$ 46.3K - $ 278K
Katy Perry,"46,000,000","28,106,868,821",181,United States (US)               ,Music,2008,"['25,926', '55,071,396']","['100,000', '212,418,239']","['200,000', '490,018,747']",$ 79.7K - $ 478K
Sony PAL,"45,900,000","35,701,309,866",31794, ,Shows,2014,"['50,000', '47,262,835']","['100,000', '94,525,670']","['500,000', '585,389,352']",$ 35.4K - $ 213K
Genevieve's Playhouse - Learning Videos for Kids,"45,700,000","35,498,705,827",668,United States (US)               ,Education,2016,"['116,667', '106,423,210']","['200,000', '182,439,788']","['1,100,000', '1,049,249,857']",$ 68.4K - $ 410K
Celine Dept,"45,500,000","32,733,943,204",1384,Belgium (BE)               ,Sports,2023,"['323,077', '566,458,573']","['600,000', '1,051,994,491']","['2,200,000', '3,259,357,633']",$ 394K - $ 2.37M
AboFlah,"45,500,000","7,205,662,293",775,Kuwait (KW)               ,Gaming,2016,"['46,667', '42,018,942']","['100,000', '90,040,589']","['1,200,000', '354,213,577']",$ 33.8K - $ 203K
Techno Gamerz,"45,500,000","13,659,363,307",1107,India (IN)               ,Gaming,2017,"['87,500', '59,761,211']","['400,000', '213,551,487']","['1,200,000', '505,343,403']",$ 80.1K - $ 480K
DaFuq!?Boom!,"45,300,000","18,585,089,867",306,United States (US)               ,Film,2016,"['53,847', '35,893,226']","['100,000', '66,658,848']","['300,000', '260,558,128']",$ 25K - $ 150K
MR. INDIAN HACKER,"45,300,000","8,047,945,487",1102,India (IN)               ,Science,2012,"['46,667', '14,506,364']","['300,000', '70,687,401']","['1,000,000', '318,119,351']",$ 26.5K - $ 159K
CarryMinati,"45,000,000","4,164,744,534",204,India (IN)               ,Comedy,2014,"['0', '3,932,528']","['0', '7,865,056']","['0', '40,664,448']",$ 2.95K - $ 17.7K
BeatboxJCOP,"44,900,000","21,325,165,973",1239,United States (US)               ,Film,2011,"['262,500', '257,574,803']","['1,500,000', '1,142,118,850']","['5,700,000', '2,992,282,610']",$ 428K - $ 2.57M
whinderssonnunes,"44,800,000","4,641,861,907",936,Brazil (BR)               ,Comedy,2013,"['0', '2,225,490']","['0', '4,450,979']","['0', '27,908,515']",$ 1.67K - $ 10K
BRIGHT SIDE,"44,700,000","11,509,306,863",9651, ,Howto,2017,"['0', '8,351,656']","['0', '17,896,405']","['0', '91,092,226']",$ 6.71K - $ 40.3K
Total Gaming,"44,600,000","4,806,955,963",536,India (IN)               ,Gaming,2018,"['43,750', '8,498,490']","['100,000', '36,914,685']","['400,000', '108,721,126']",$ 13.8K - $ 83.1K
Luisito Comunica,"44,400,000","10,645,932,386",1419,Mexico (MX)               ,Comedy,2012,"['50,000', '19,298,288']","['100,000', '73,286,223']","['500,000', '271,244,534']",$ 27.5K - $ 165K
Rihanna,"44,300,000","26,093,547,297",88, ,Entertainment,2005,"['0', '75,692,230']","['0', '324,395,270']","['300,000', '504,980,963']",$ 122K - $ 730K
Like Nastya Show,"44,300,000","21,440,777,662",801,United States (US)               ,Entertainment,2017,"['0', '10,886,360']","['0', '21,772,719']","['100,000', '166,304,544']",$ 8.16K - $ 49K
HolaSoyGerman.,"44,200,000","4,935,253,174",136,Chile (CL)               ,Entertainment,2011,"['0', '857,143']","['0', '1,591,837']","['100,000', '10,904,050']",$ 596 - $ 3.58K
Priyal Kukreja,"43,800,000","28,679,413,987",1309,India (IN)               ,People,2021,"['107,693', '226,287,947']","['200,000', '420,249,044']","['1,500,000', '1,436,337,196']",$ 158K - $ 946K
Super Simple Songs - Kids Songs,"44,000,000","55,746,250,419",835,Canada (CA)               ,Education,2006,"['31,819', '106,868,697']","['136,364', '198,470,437']","['400,000', '1,041,936,608']",$ 74.4K - $ 447K
Jingle Toons,"43,900,000","14,676,913,968",270, ,Film,2013,"['100,000', '27,862,460']","['200,000', '55,724,920']","['1,000,000', '386,443,081']",$ 20.9K - $ 125K
Ultra Bollywood,"43,700,000","17,227,755,275",10108,India (IN)               ,Trailers,2009,"['53,847', '27,099,031']","['200,000', '80,540,106']","['700,000', '192,082,751']",$ 30.2K - $ 181K
La Granja de ZenÃ³n,"43,300,000","35,355,057,147",961,Argentina (AR)               ,Music,2013,"['100,000', '115,813,962']","['200,000', '231,627,924']","['900,000', '1,147,169,166']",$ 86.9K - $ 521K
Vlad vÃ  Niki,"43,300,000","27,253,952,324",737,United States (US)               ,Youtuber,2018,"['41,177', '31,527,322']","['100,000', '76,566,353']","['900,000', '564,122,919']",$ 28.7K - $ 172K
YouTube,"42,900,000","2,566,861,216",944, ,News,1970,"['53,847', '2,643,188']","['100,000', '4,908,776']","['500,000', '37,792,540']",$ 1.84K - $ 11K
Frost Diamond,"42,900,000","11,315,871,485",3851,Indonesia (ID)               ,Gaming,2014,"['93,334', '80,559,351']","['700,000', '337,328,633']","['1,600,000', '695,672,948']",$ 126K - $ 759K
Akshay Nagwadiya,"42,700,000","13,764,800,840",1171,India (IN)               ,Entertainment,2017,"['107,693', '54,557,975']","['200,000', '101,321,952']","['900,000', '390,525,354']",$ 38K - $ 228K
TEDx Talks,"42,800,000","8,350,224,410",233540, ,Nonprofits,2009,"['50,000', '11,041,140']","['100,000', '22,082,280']","['500,000', '132,838,577']",$ 8.28K - $ 49.7K
à¸à¹à¸­à¸ one31,"42,700,000","31,405,479,252",170220,Thailand (TH)               ,Entertainment,2013,"['50,000', '64,333,164']","['100,000', '128,666,327']","['500,000', '719,861,764']",$ 48.2K - $ 289K
WorkpointOfficial,"42,600,000","40,916,347,881",99470, ,Entertainment,2012,"['26,924', '56,996,108']","['115,385', '113,992,216']","['300,000', '636,172,532']",$ 42.7K - $ 256K
TheDonato,"42,500,000","8,214,581,475",3806,,Entertainment,2015,"['46,667', '12,815,151']","['100,000', '27,461,036']","['300,000', '167,120,473']",$ 10.3K - $ 61.8K
Zach King,"42,500,000","20,571,131,467",768,United States (US)               ,Entertainment,2013,"['116,667', '188,330,004']","['200,000', '322,851,434']","['700,000', '959,750,569']",$ 121K - $ 726K
Like Nastya ESP,"42,400,000","21,551,235,106",957,Russian Federation (RU)               ,Entertainment,2017,"['46,667', '31,966,221']","['100,000', '68,499,043']","['500,000', '392,321,568']",$ 25.7K - $ 154K
Enaldinho,"42,400,000","19,961,413,441",4884,Brazil (BR)               ,Comedy,2012,"['100,000', '99,438,153']","['200,000', '198,876,306']","['1,000,000', '985,679,410']",$ 74.6K - $ 447K
Karla Bustillos,"42,200,000","11,681,134,795",1410,Mexico (MX)               ,Entertainment,2019,"['175,000', '97,865,074']","['800,000', '413,099,542']","['2,600,000', '1,032,997,874']",$ 155K - $ 929K
GR6 EXPLODE,"42,200,000","29,403,325,162",3349,Brazil (BR)               ,Music,2014,"['50,000', '47,735,523']","['100,000', '183,016,848']","['300,000', '2,617,750,140']",$ 68.6K - $ 412K
XXXTENTACION,"41,800,000","11,685,251,162",135,United States (US)               ,Music,2015,"['46,667', '9,068,700']","['100,000', '38,865,858']","['400,000', '158,992,536']",$ 14.6K - $ 87.4K
LeoNata Family,"41,500,000","43,920,443,693",4299,United States (US)               ,People,2021,"['100,000', '154,162,298']","['200,000', '308,324,595']","['1,600,000', '1,618,686,304']",$ 116K - $ 694K
Masha y el Oso,"41,500,000","21,786,945,302",1776,Mexico (MX)               ,Film,2016,"['150,000', '154,862,565']","['500,000', '500,745,386']","['1,600,000', '1,386,649,211']",$ 188K - $ 1.13M
dednahype,"41,500,000","35,894,609,394",4105,Latvia (LV)               ,Comedy,2020,"['393,750', '341,362,658']","['1,700,000', '1,187,766,852']","['3,400,000', '2,242,501,708']",$ 445K - $ 2.67M
Little Baby Bum - Nursery Rhymes & Kids Songs,"41,500,000","41,890,893,576",2947,United Kingdom (GB)               ,Education,2011,"['0', '85,743,448']","['0', '146,988,768']","['200,000', '564,126,119']",$ 55.1K - $ 331K
Jason Derulo,"41,400,000","24,880,047,181",5106,United States (US)               ,Music,2008,"['50,000', '250,619,151']","['200,000', '644,045,626']","['900,000', '1,621,762,943']",$ 242K - $ 1.45M
LankyBox,"41,300,000","38,995,672,899",10569,United States (US)               ,Comedy,2016,"['50,000', '48,847,386']","['100,000', '97,694,772']","['800,000', '547,631,213']",$ 36.6K - $ 220K
â Kids Roma Show,"41,000,000","17,175,351,407",783,United States (US)               ,People,2015,"['161,539', '85,105,696']","['300,000', '158,053,435']","['1,300,000', '725,172,521']",$ 59.3K - $ 356K
Bruno Mars,"41,000,000","22,977,292,763",103, ,Music,2006,"['58,334', '51,869,801']","['100,000', '222,299,146']","['800,000', '400,936,540']",$ 83.4K - $ 500K
elrubiusOMG,"40,700,000","7,565,143,329",711,Spain (ES)               ,Gaming,2011,"['0', '1,155,334']","['0', '1,980,571']","['100,000', '18,597,915']",$ 742 - $ 4.46K
BabyBus - Kids Songs and Cartoons,"40,500,000","31,541,299,634",2717,United States (US)               ,Education,2016,"['50,000', '57,976,152']","['100,000', '115,952,303']","['600,000', '591,040,956']",$ 43.5K - $ 261K
Gulshan Kalra,"40,400,000","18,366,644,771",801,India (IN)               ,Howto,2018,"['43,750', '41,479,451']","['100,000', '94,810,172']","['400,000', '361,888,461']",$ 35.6K - $ 213K
Heroindori,"40,400,000","15,538,830,464",801,India (IN)               ,Comedy,2020,"['0', '34,263,283']","['0', '122,722,791']","['300,000', '403,217,871']",$ 46K - $ 276K
Daddy Yankee,"39,900,000","25,468,877,665",579,Puerto Rico (PR)               ,Music,2011,"['25,926', '49,783,776']","['111,112', '213,359,040']","['200,000', '424,093,988']",$ 80K - $ 480K
WowKidz,"39,900,000","22,631,875,366",12372,India (IN)               ,Film,2015,"['50,000', '53,770,616']","['100,000', '107,541,231']","['700,000', '481,593,392']",$ 40.3K - $ 242K
